64
[(133, 12, 3), (59, 30, 3), (128, 0, 0), (9, 32, 1), (38, 38, 3), (19, 14, 0), (144, 22, 3), (149, 20, 3), (149, 27, 0), (116, 34, 3), (27, 24, 1), (85, 38, 1), (9, 39, 0), (104, 11, 1), (76, 26, 0), (58, 32, 2), (145, 24, 2), (22, 9, 1), (17, 25, 3), (94, 23, 3)]
5000 82                     10.8418 -50 -50 0.0
10000 82 20.7926                         -50 -50 0.0
15000 107 30.2544                         64 -49.9252 0.0008
20000 107 38.819                         64 -49.9388 0.0006
25000 107 45.9984                         64 -49.9 0.001
30000 109 52.3694                         64 -49.918 0.0008
35000 109 58.397                         64 -49.9352 0.0006
40000 117 63.6164                         64 -49.9352 0.0006
45000 119 68.479                         64 -49.956 0.0004
50000 119 73.1542                         64 -49.9772 0.0002
55000 125 77.8502                         -50 -50 0.0
60000 130 82.4718                         -50 -50 0.0
65000 130 87.0182                         -50 -50 0.0
70000 136 91.2326                         -50 -50 0.0
75000 138 95.2906                         -50 -50 0.0
80000 149 99.2974                         -50 -50 0.0
85000 149 103.355                         -50 -50 0.0
90000 149 107.0548                         -50 -50 0.0
95000 149 110.7982                         -50 -50 0.0
100000 149 114.5306                         -50 -50 0.0
