42
[(130, 17, 1), (17, 2, 2), (70, 14, 3), (171, 24, 2), (78, 36, 2), (142, 31, 2), (165, 17, 1), (55, 36, 3), (168, 2, 0), (34, 30, 1), (115, 17, 3), (48, 26, 1), (176, 6, 0), (132, 5, 1), (133, 6, 2), (93, 34, 1), (125, 39, 2), (31, 29, 1), (118, 37, 1), (184, 39, 2)]
5000 89                     10.7744 13 -49.9754 0.0004
10000 89 21.0106                         5 -49.989 0.0002
15000 93 30.4658                         24 -49.9852 0.0002
20000 96 38.8096                         21 -49.9858 0.0002
25000 119 46.3102                         -50 -50 0.0
30000 128 52.6942                         42 -49.9816 0.0002
35000 128 58.864                         42 -49.9816 0.0002
40000 128 64.9362                         -50 -50 0.0
45000 128 70.4932                         -50 -50 0.0
50000 128 75.6516                         -50 -50 0.0
55000 129 80.679                         -50 -50 0.0
60000 135 85.6552                         -50 -50 0.0
65000 135 90.0946                         -50 -50 0.0
70000 135 94.2916                         -50 -50 0.0
75000 143 98.699                         -50 -50 0.0
80000 143 103.0726                         -50 -50 0.0
85000 146 107.0084                         -50 -50 0.0
90000 150 110.8414                         -50 -50 0.0
95000 150 114.3736                         -50 -50 0.0
100000 150 117.6602                         -50 -50 0.0
