105
[(129, 18, 3), (145, 21, 3), (156, 39, 2), (75, 29, 0), (144, 26, 1), (161, 22, 1), (116, 37, 2), (64, 10, 1), (68, 0, 3), (89, 1, 0), (127, 10, 3), (85, 14, 1), (153, 0, 3), (72, 22, 2), (121, 18, 0), (102, 8, 3), (125, 34, 1), (137, 27, 0), (119, 8, 0), (89, 36, 1)]
5000 85                     10.9406 24 -49.9734 0.0004
10000 86 21.0718                         24 -49.9468 0.0008
15000 91 30.5026                         18 -49.9864 0.0002
20000 97 39.133                         -50 -50 0.0
25000 99 46.681                         32 -49.9836 0.0002
30000 107 53.415                         -50 -50 0.0
35000 111 59.694                         -50 -50 0.0
40000 115 65.4924                         -50 -50 0.0
45000 115 71.0714                         83 -49.9734 0.0002
50000 125 75.941                         83 -49.9734 0.0002
55000 124 80.5206                         83 -49.9734 0.0002
60000 124 84.8988                         83 -49.9734 0.0002
65000 135 89.01                         -50 -50 0.0
70000 135 92.949                         -50 -50 0.0
75000 143 96.5934                         -50 -50 0.0
80000 151 99.863                         -50 -50 0.0
85000 151 103.2176                         -50 -50 0.0
90000 151 106.4742                         105 -49.969 0.0002
95000 151 109.3938                         105 -49.969 0.0002
100000 151 112.262                         105 -49.969 0.0002
