32
[(94, 35, 1), (158, 22, 2), (73, 5, 2), (18, 9, 3), (76, 31, 2), (157, 16, 2), (73, 21, 3), (62, 13, 3), (103, 34, 0), (170, 16, 1), (179, 10, 3), (50, 21, 1), (31, 28, 1), (101, 36, 1), (130, 19, 2), (189, 2, 1), (56, 4, 3), (120, 33, 0), (148, 23, 1), (160, 25, 3)]
5000 90                     10.822 -50 -50 0.0
10000 95 20.7452                         18 -49.9864 0.0002
15000 95 30.236                         26 -49.9724 0.0004
20000 96 38.9738                         32 -49.9684 0.0004
25000 106 46.9044                         -50 -50 0.0
30000 107 54.0868                         -50 -50 0.0
35000 107 60.9492                         -50 -50 0.0
40000 113 66.7988                         -50 -50 0.0
45000 120 72.3232                         -50 -50 0.0
50000 127 77.4176                         -50 -50 0.0
55000 130 81.9862                         -50 -50 0.0
60000 130 86.3808                         -50 -50 0.0
65000 130 90.2996                         -50 -50 0.0
70000 131 94.1848                         -50 -50 0.0
75000 132 97.6904                         -50 -50 0.0
80000 138 101.0966                         -50 -50 0.0
85000 139 104.1876                         -50 -50 0.0
90000 149 107.4724                         -50 -50 0.0
95000 149 110.5216                         -50 -50 0.0
100000 149 113.404                         -50 -50 0.0
