171
[(88, 14, 1), (94, 3, 0), (85, 15, 1), (81, 27, 3), (91, 37, 0), (103, 16, 0), (100, 9, 0), (77, 0, 2), (89, 20, 0), (87, 22, 0), (115, 36, 1), (99, 20, 1), (105, 10, 3), (98, 34, 2), (90, 39, 3), (99, 23, 2), (111, 3, 3), (83, 29, 3), (80, 23, 0), (77, 9, 0)]
600 42.400000000000006                     -39.33233333333333 -50 -50 0.0
1100 53.8 -19.008                         -50 -50 0.0
1600 62.4 -5.246999999999999                         -50 -50 0.0
2100 62.4 7.543666666666668                         3 -49.91166666666667 0.0016666666666666668
2600 66.0 17.082666666666668                         41 -49.748333333333335 0.0033333333333333335
3100 67.0 26.376333333333335                         41 -49.848333333333336 0.0016666666666666668
3600 78.6 34.449666666666666                         48 -49.685 0.0033333333333333335
4100 96.2 41.453                         48 -49.385 0.006666666666666667
4600 96.2 47.923                         57 -49.495 0.005
5100 96.2 53.580666666666666                         57 -49.48833333333334 0.005
5600 96.2 57.72                         60 -49.14666666666667 0.008333333333333333
6100 96.2 62.504333333333335                         60 -49.468333333333334 0.005
6600 105.2 66.66466666666666                         77 -49.21666666666667 0.006666666666666667
7100 105.2 70.41666666666667                         80 -49.178333333333335 0.006666666666666667
7600 105.4 73.93466666666667                         77 -49.181666666666665 0.006666666666666667
8100 108.8 77.23933333333333                         77 -49.16833333333334 0.006666666666666667
8600 108.8 80.37066666666666                         77 -49.36833333333333 0.005
9100 114.6 83.306                         98 -48.916666666666664 0.008333333333333333
9600 114.6 85.70966666666666                         98 -49.513333333333335 0.0033333333333333335
10100 125.6 88.34166666666667                         98 -49.285 0.005
10600 125.6 90.889                         98 -49.285 0.005
11100 125.6 93.64266666666667                         103 -49.505 0.0033333333333333335
11600 125.6 96.16033333333333                         103 -49.505 0.0033333333333333335
12100 125.6 98.43933333333334                         106 -49.24666666666667 0.005
12600 125.6 100.94766666666666                         106 -49.24333333333333 0.005
13100 125.6 102.758                         106 -49.22666666666667 0.005
13600 129.8 104.48433333333334                         122 -48.94 0.006666666666666667
14100 129.8 106.23733333333334                         122 -49.19833333333333 0.005
14600 129.8 107.89933333333333                         122 -49.19833333333333 0.005
15100 130.6 109.69133333333333                         122 -49.71333333333333 0.0016666666666666668
15600 130.6 111.374                         127 -49.41833333333334 0.0033333333333333335
16100 130.6 112.951                         127 -49.125 0.005
16600 130.8 114.58566666666667                         127 -49.125 0.005
17100 131.8 115.924                         127 -49.125 0.005
17600 137.4 117.523                         127 -49.41166666666667 0.0033333333333333335
18100 137.4 118.61666666666666                         127 -49.155 0.005
18600 138.0 119.94366666666667                         127 -49.41166666666667 0.0033333333333333335
19100 142.6 121.06                         127 -49.41166666666667 0.0033333333333333335
19600 142.6 122.11266666666667                         127 -49.41166666666667 0.0033333333333333335
20100 142.6 123.455                         127 -49.41166666666667 0.0033333333333333335
20600 142.6 124.438                         127 -49.705 0.0016666666666666668
21100 142.6 125.379                         127 -49.705 0.0016666666666666668
21600 143.2 126.32766666666667                         130 -49.405 0.0033333333333333335
22100 148.2 127.72133333333333                         130 -49.405 0.0033333333333333335
22600 148.2 128.46833333333333                         130 -49.405 0.0033333333333333335
23100 148.2 129.27666666666667                         130 -49.405 0.0033333333333333335
23600 148.2 130.15466666666666                         130 -49.405 0.0033333333333333335
24100 148.2 130.994                         130 -49.405 0.0033333333333333335
24600 148.2 132.08066666666667                         137 -49.388333333333335 0.0033333333333333335
25100 148.2 132.965                         137 -49.38 0.0033333333333333335
25600 148.2 133.505                         137 -49.38 0.0033333333333333335
26100 148.2 134.423                         137 -49.38 0.0033333333333333335
26600 148.2 135.19                         137 -49.38 0.0033333333333333335
27100 148.2 135.608                         137 -49.38 0.0033333333333333335
27600 149.2 136.17566666666667                         142 -49.06 0.005
28100 149.2 136.60766666666666                         142 -49.36833333333333 0.0033333333333333335
28600 149.2 136.963                         142 -49.36833333333333 0.0033333333333333335
29100 149.2 137.591                         142 -49.36833333333333 0.0033333333333333335
29600 150.4 138.03966666666668                         142 -49.36833333333333 0.0033333333333333335
30100 150.4 138.469                         142 -49.36833333333333 0.0033333333333333335
30600 150.4 138.79633333333334                         142 -49.36833333333333 0.0033333333333333335
31100 150.4 139.32966666666667                         142 -49.05166666666667 0.005
31600 150.4 139.72833333333332                         142 -49.36333333333334 0.0033333333333333335
32100 152.4 140.28666666666666                         142 -49.36333333333334 0.0033333333333333335
32600 152.4 140.55833333333334                         142 -49.68 0.0016666666666666668
33100 154.4 140.91333333333333                         142 -49.68 0.0016666666666666668
33600 154.4 141.50133333333332                         146 -49.03333333333333 0.005
34100 154.8 142.044                         146 -49.03333333333333 0.005
34600 154.8 142.39433333333332                         146 -49.03333333333333 0.005
35100 154.8 142.57166666666666                         146 -49.35333333333333 0.0033333333333333335
35600 154.8 143.001                         146 -49.35333333333333 0.0033333333333333335
36100 154.8 143.405                         146 -49.67333333333333 0.0016666666666666668
36600 156.2 143.77533333333332                         146 -49.67333333333333 0.0016666666666666668
37100 156.2 144.23566666666667                         146 -49.67333333333333 0.0016666666666666668
37600 156.2 144.56833333333333                         146 -49.67333333333333 0.0016666666666666668
38100 156.2 145.16633333333334                         156 -49.33 0.0033333333333333335
38600 159.4 145.50433333333334                         151 -49.33833333333333 0.0033333333333333335
39100 159.4 145.82133333333334                         151 -49.33833333333333 0.0033333333333333335
39600 159.4 146.18133333333333                         151 -49.33833333333333 0.0033333333333333335
40100 159.4 146.665                         151 -49.665 0.0016666666666666668
40600 159.4 147.097                         151 -49.665 0.0016666666666666668
41100 159.4 147.438                         151 -49.665 0.0016666666666666668
41600 159.4 147.84033333333332                         151 -49.665 0.0016666666666666668
42100 159.4 148.20633333333333                         151 -49.665 0.0016666666666666668
42600 159.4 148.37533333333334                         151 -49.665 0.0016666666666666668
43100 159.4 148.80766666666668                         151 -49.665 0.0016666666666666668
43600 159.4 149.07466666666667                         151 -49.665 0.0016666666666666668
44100 161.6 149.34966666666668                         151 -49.665 0.0016666666666666668
44600 161.6 149.92866666666666                         157 -49.32 0.0033333333333333335
45100 161.6 150.191                         157 -49.655 0.0016666666666666668
45600 161.6 150.54                         157 -49.655 0.0016666666666666668
46100 161.6 150.766                         157 -49.655 0.0016666666666666668
46600 161.6 151.19466666666668                         157 -49.655 0.0016666666666666668
47100 161.6 151.50833333333333                         157 -49.655 0.0016666666666666668
