173
[(105, 9, 2), (109, 25, 2), (95, 38, 1), (100, 9, 0), (98, 27, 3), (88, 1, 1), (105, 26, 1), (121, 23, 0), (96, 13, 3), (121, 13, 2), (94, 25, 1), (85, 28, 0), (97, 17, 1), (121, 26, 3), (103, 34, 3), (88, 37, 3), (105, 36, 1), (96, 0, 3), (110, 0, 3), (89, 37, 1)]
600 40.0                     -38.893 -50 -50 0.0
1100 58.6 -18.050666666666665                         -50 -50 0.0
1600 60.4 -3.1843333333333326                         -50 -50 0.0
2100 66.2 7.795333333333334                         37 -49.855 0.0016666666666666668
2600 66.2 17.929666666666666                         37 -49.74 0.0033333333333333335
3100 66.2 26.891666666666666                         37 -49.62 0.005
3600 70.2 34.276                         37 -49.735 0.0033333333333333335
4100 83.2 40.82966666666667                         59 -49.52166666666667 0.005
4600 93.6 47.403666666666666                         74 -49.275 0.006666666666666667
5100 97.0 53.047666666666665                         74 -49.24666666666667 0.006666666666666667
5600 100.0 58.42666666666667                         74 -49.06333333333333 0.008333333333333333
6100 101.6 62.819                         83 -48.84166666666667 0.01
6600 101.6 66.79566666666666                         83 -49.18333333333333 0.006666666666666667
7100 101.6 70.66066666666667                         83 -49.175 0.006666666666666667
7600 101.6 73.34666666666666                         83 -48.78 0.01
8100 115.4 77.05033333333333                         83 -48.765 0.01
8600 115.4 80.23333333333333                         83 -49.365 0.005
9100 115.4 83.17933333333333                         83 -49.35333333333333 0.005
9600 115.4 85.696                         83 -49.56 0.0033333333333333335
10100 115.4 88.306                         83 -49.56 0.0033333333333333335
10600 115.8 91.018                         -50 -50 0.0
11100 115.8 92.98466666666667                         -50 -50 0.0
11600 115.8 95.477                         95 -49.52166666666667 0.0033333333333333335
12100 115.8 97.83533333333334                         -50 -50 0.0
12600 125.8 100.17766666666667                         -50 -50 0.0
13100 131.0 102.124                         -50 -50 0.0
13600 131.0 104.03833333333333                         103 -49.745 0.0016666666666666668
14100 131.0 105.739                         106 -49.22833333333333 0.005
14600 131.0 107.647                         106 -49.483333333333334 0.0033333333333333335
15100 131.0 109.316                         106 -49.483333333333334 0.0033333333333333335
15600 131.0 110.89233333333334                         106 -49.74 0.0016666666666666668
16100 131.0 112.446                         117 -49.461666666666666 0.0033333333333333335
16600 141.4 114.28166666666667                         121 -49.43666666666667 0.0033333333333333335
17100 137.8 115.43933333333334                         121 -49.43666666666667 0.0033333333333333335
17600 137.8 116.993                         121 -49.43666666666667 0.0033333333333333335
18100 136.2 118.50433333333334                         128 -49.41833333333334 0.0033333333333333335
18600 144.0 119.85766666666666                         128 -49.41833333333334 0.0033333333333333335
19100 144.0 121.13366666666667                         128 -49.123333333333335 0.005
19600 144.0 122.21433333333333                         128 -49.40833333333333 0.0033333333333333335
20100 144.0 123.47833333333334                         128 -49.40833333333333 0.0033333333333333335
20600 144.0 124.552                         128 -49.12 0.005
21100 144.0 125.747                         128 -49.12 0.005
21600 144.0 126.77266666666667                         128 -49.40833333333333 0.0033333333333333335
22100 147.8 127.86766666666666                         128 -49.40833333333333 0.0033333333333333335
22600 153.4 128.88366666666667                         128 -49.40833333333333 0.0033333333333333335
23100 153.4 129.85433333333333                         127 -49.705 0.0016666666666666668
23600 153.4 130.977                         127 -49.705 0.0016666666666666668
24100 153.4 131.84566666666666                         -50 -50 0.0
24600 153.4 132.87333333333333                         147 -49.67166666666667 0.0016666666666666668
25100 153.4 133.57633333333334                         147 -49.67166666666667 0.0016666666666666668
25600 153.4 134.455                         147 -49.67166666666667 0.0016666666666666668
26100 153.4 135.22                         147 -49.67166666666667 0.0016666666666666668
26600 153.4 135.97633333333334                         147 -49.67166666666667 0.0016666666666666668
27100 153.4 136.82933333333332                         147 -49.67166666666667 0.0016666666666666668
27600 153.4 137.48433333333332                         147 -49.67166666666667 0.0016666666666666668
28100 153.4 138.133                         147 -49.67166666666667 0.0016666666666666668
28600 153.4 138.73133333333334                         147 -49.67166666666667 0.0016666666666666668
29100 153.4 139.46333333333334                         147 -49.67166666666667 0.0016666666666666668
29600 153.4 140.121                         147 -49.67166666666667 0.0016666666666666668
30100 160.8 140.57266666666666                         147 -49.67166666666667 0.0016666666666666668
30600 160.8 141.18733333333333                         147 -49.67166666666667 0.0016666666666666668
31100 160.8 141.63633333333334                         147 -49.67166666666667 0.0016666666666666668
