177
[(61, 16, 1), (62, 11, 3), (94, 30, 3), (72, 6, 0), (80, 29, 3), (78, 15, 0), (84, 16, 3), (84, 13, 0), (90, 14, 0), (93, 0, 3), (76, 37, 0), (60, 32, 0), (71, 10, 1), (76, 8, 1), (87, 12, 2), (84, 32, 2), (72, 22, 0), (64, 14, 1), (79, 15, 2), (60, 22, 1)]
600 35                     -30.611666666666668 -50 -50 0.0
1100 46.93270191067401 -3.1601016596376486                         15 -49.891666666666666 0.0016666666666666668
1600 46.93270191067401 14.365478565079709                         30 -49.26 0.01
2100 72.16614771631811 27.43345524204553                         30 -49.36833333333333 0.008333333333333333
2600 74.09025309600128 38.28202884529885                         59 -49.11333333333334 0.01
3100 102.20193797650563 48.03447847581764                         59 -49.163333333333334 0.008333333333333333
3600 102.20193797650563 57.312614856604334                         59 -49.29333333333334 0.006666666666666667
4100 102.20193797650563 65.64470802514099                         64 -49.44 0.005
4600 102.20193797650563 73.30433105240594                         81 -49.175 0.006666666666666667
5100 110.40828842689285 81.11996126632312                         81 -49.365 0.005
5600 120.0 88.82127911267781                         120 -48.776666666666664 0.008333333333333333
6100 123.60191986265205 96.14767821149076                         120 -49.20666666666666 0.005
6600 124.06479403849622 103.03398694089836                         120 -48.38166666666667 0.01
7100 137.64108197501918 108.83707440732844                         120 -48.63333333333333 0.008333333333333333
7600 137.64108197501918 114.67950334460728                         120 -48.335 0.01
8100 139.92759733082437 119.49634557490104                         120 -48.32666666666667 0.01
8600 142.74542831560598 124.02291196372552                         124 -48.86 0.006666666666666667
9100 144.6889282088922 128.26213017098937                         124 -49.42 0.0033333333333333335
9600 145.06541859593324 132.30704641905055                         -50 -50 0.0
10100 146.77218948123112 135.77405113656854                         -50 -50 0.0
10600 149.9232459323831 138.81299302636555                         137 -49.68833333333333 0.0016666666666666668
11100 149.9232459323831 141.30215794404123                         -50 -50 0.0
11600 155.53488520313795 143.5382737197168                         -50 -50 0.0
12100 155.53488520313795 145.6120561664                         -50 -50 0.0
12600 157.4406925608692 147.70498380779418                         -50 -50 0.0
13100 157.80606674757334 149.66728846117775                         -50 -50 0.0
13600 160.28119753774854 151.36361680863504                         152 -49.663333333333334 0.0016666666666666668
14100 160.62019618565225 152.83793588107935                         -50 -50 0.0
14600 162.47702735702214 154.33741116830464                         161 -48.955 0.005
15100 165.16714343408862 155.7764807286954                         161 -47.90833333333333 0.01
15600 165.63315137733326 157.0006086698343                         161 -47.55833333333333 0.011666666666666667
16100 166.28717508880862 158.29176535967315                         161 -47.20666666666666 0.013333333333333334
16600 166.85994596453014 159.7384709420756                         161 -46.85666666666667 0.015
17100 167.05128347093634 161.52326479204606                         161 -47.553333333333335 0.011666666666666667
17600 167.5273182172899 162.99605813973778                         161 -49.64833333333333 0.0016666666666666668
18100 169.95748682539136 163.93183569668415                         -50 -50 0.0
18600 170.00921891437628 164.8136733556065                         -50 -50 0.0
19100 170.5509656400843 165.6791662971277                         -50 -50 0.0
19600 172.0962083790345 166.53204054953946                         -50 -50 0.0
20100 172.87333714600626 167.41060714266953                         -50 -50 0.0
20600 172.87333714600626 168.19602064408042                         -50 -50 0.0
21100 172.90302746108384 169.0010620955635                         -50 -50 0.0
21600 173.2795490795453 169.86672325167473                         -50 -50 0.0
22100 173.91594881137019 170.75845653688268                         -50 -50 0.0
22600 175.18323306286143 171.6332394224435                         -50 -50 0.0
23100 175.57803389883665 172.33873993960935                         -50 -50 0.0
23600 175.60428791973655 172.8497833249286                         -50 -50 0.0
24100 175.62956307018248 173.25963615516213                         -50 -50 0.0
24600 175.6347039166295 173.70046397696814                         -50 -50 0.0
25100 176.32774833056993 174.28733282550792                         -50 -50 0.0
25600 176.32774833056993 174.87889404351645                         -50 -50 0.0
26100 176.32774833056993 175.36597772480127                         -50 -50 0.0
26600 176.32774833056993 175.56878071435014                         -50 -50 0.0
27100 176.32774833056993 175.6065124205325                         -50 -50 0.0
27600 176.32774833056993 175.65289093352652                         -50 -50 0.0
28100 176.32774833056993 175.71312421315648                         -50 -50 0.0
28600 176.32774833056993 175.8218176521427                         -50 -50 0.0
29100 176.63150392852268 175.96214939111778                         -50 -50 0.0
29600 176.6376643234608 176.09520821498984                         -50 -50 0.0
30100 176.6376643234608 176.19921175219548                         -50 -50 0.0
30600 176.6376643234608 176.2696822597489                         -50 -50 0.0
31100 176.6376643234608 176.31927791719824                         -50 -50 0.0
31600 176.6376643234608 176.3956985040825                         -50 -50 0.0
32100 176.6376643234608 176.50440076106187                         -50 -50 0.0
32600 176.6376643234608 176.5946866630815                         -50 -50 0.0
33100 176.6376643234608 176.62162571302537                         -50 -50 0.0
33600 176.6376643234608 176.60778845962653                         -50 -50 0.0
34100 177.0 176.59492656223958                         177 -49.62166666666667 0.0016666666666666668
34600 177.0 176.62315845732746                         177 -48.865 0.005
35100 177.0 176.62010934038332                         177 -45.83833333333333 0.018333333333333333
35600 177.0 176.6438639807758                         177 -35.245 0.065
36100 177.0 176.6794479926658                         177 -13.68 0.16
36600 177.0 176.74791810961048                         177 29.45 0.35
37100 177.0 176.8429145963596                         177 93.38833333333334 0.6316666666666667
37600 177.0 176.96444445109134                         177 155.05666666666667 0.9033333333333333
38100 177.0 176.99020509088913                         177 173.595 0.985
38600 177.0 176.99400435414725                         177 176.24333333333334 0.9966666666666667
39100 177.0 176.99295270132524                         177 176.61666666666667 0.9983333333333333
39600 177.0 176.96962807464834                         177 175.865 0.995
40100 177.0 176.99729531206603                         177 176.62166666666667 0.9983333333333333
40600 177.0 176.97679511189023                         177 174.73 0.99
41100 177.0 177.0                         177 177 1.0
41600 177.0 176.99616530296288                         177 176.62166666666667 0.9983333333333333
42100 177.0 176.99613393922743                         177 176.62166666666667 0.9983333333333333
42600 177.0 176.997396117395                         177 176.62166666666667 0.9983333333333333
43100 177.0 176.98951945389612                         177 175.48666666666668 0.9933333333333333
43600 177.0 176.99935158297595                         177 176.62166666666667 0.9983333333333333
44100 177.0 176.9932722055916                         177 176.24333333333334 0.9966666666666667
44600 177.0 177.0                         177 177 1.0
45100 177.0 176.98592084299676                         177 175.48666666666668 0.9933333333333333
45600 177.0 177.0                         177 177 1.0
46100 177.0 177.0                         177 177 1.0
46600 177.0 176.98894289788112                         177 175.865 0.995
47100 177.0 176.98544965687907                         177 176.23666666666668 0.9966666666666667
47600 177.0 176.99734832585517                         177 176.62166666666667 0.9983333333333333
48100 177.0 176.96858626692958                         177 175.10833333333332 0.9916666666666667
48600 177.0 176.99738590876373                         177 176.24333333333334 0.9966666666666667
49100 177.0 176.98557092614098                         177 175.865 0.995
49600 177.0 176.9986943724137                         177 176.62166666666667 0.9983333333333333
50100 177.0 177.0                         177 177 1.0
50600 177.0 177.0                         177 177 1.0
51100 177.0 176.9885240978348                         177 175.48666666666668 0.9933333333333333
51600 177.0 176.9955573300869                         177 176.62166666666667 0.9983333333333333
52100 177.0 176.99530801546368                         177 176.61833333333334 0.9983333333333333
52600 177.0 177.0                         177 177 1.0
53100 177.0 176.9960201555193                         177 176.62166666666667 0.9983333333333333
53600 177.0 176.9883524497311                         177 176.24333333333334 0.9966666666666667
54100 177.0 176.98406887577136                         177 176.24333333333334 0.9966666666666667
54600 177.0 177.0                         177 177 1.0
55100 177.0 177.0                         177 177 1.0
55600 177.0 176.99470214684922                         177 176.62166666666667 0.9983333333333333
56100 177.0 177.0                         177 177 1.0
56600 177.0 177.0                         177 177 1.0
57100 177.0 176.99833333333333                         177 176.99833333333333 1.0
57600 177.0 176.98668918598915                         177 175.48666666666668 0.9933333333333333
58100 177.0 176.9943327181978                         177 176.62166666666667 0.9983333333333333
