177
[(63, 0, 0), (76, 20, 0), (90, 16, 2), (86, 6, 2), (68, 18, 2), (67, 24, 2), (56, 9, 0), (75, 16, 3), (56, 1, 0), (75, 39, 1), (58, 23, 3), (63, 17, 2), (90, 19, 2), (81, 35, 1), (88, 27, 1), (68, 14, 2), (64, 6, 1), (73, 0, 0), (79, 33, 2), (59, 31, 1)]
600 53                     -29.18 28 -49.87 0.0016666666666666668
1100 54.45328485881058 -2.7162474070436335                         28 -49.87 0.0016666666666666668
1600 70.49358686823498 14.00023825286903                         28 -49.666666666666664 0.005
2100 70.49358686823498 28.24059788371534                         49 -49.465 0.006666666666666667
2600 80.92806222050112 39.344124322260434                         49 -49.25833333333333 0.008333333333333333
3100 86.5965603525273 49.389261600617765                         60 -49.35333333333333 0.006666666666666667
3600 97.3227365946756 58.989124391655146                         63 -49.071666666666665 0.008333333333333333
4100 102.02520497611961 68.13701294428586                         78 -48.835 0.01
4600 119.68017598896456 76.8117048870078                         92 -48.901666666666664 0.008333333333333333
5100 119.68017598896456 85.07035111235045                         92 -49.108333333333334 0.006666666666666667
5600 120.31375771824167 92.96850031376243                         92 -49.538333333333334 0.0033333333333333335
6100 126.85493650185543 100.19845591631187                         -50 -50 0.0
6600 129.21116561605234 106.64738818675492                         -50 -50 0.0
7100 134.70790686123073 112.8693714593132                         -50 -50 0.0
7600 134.70790686123073 117.99360481322397                         123 -49.711666666666666 0.0016666666666666668
8100 141.450572367396 122.81821278391628                         123 -49.711666666666666 0.0016666666666666668
8600 141.450572367396 126.9653469351627                         123 -49.711666666666666 0.0016666666666666668
9100 146.50671270811085 130.77409528235606                         123 -49.711666666666666 0.0016666666666666668
9600 148.42053499458586 134.09263103053826                         -50 -50 0.0
10100 148.42053499458586 137.20711642519427                         -50 -50 0.0
10600 152.24556233870703 140.14247463901367                         -50 -50 0.0
11100 153.01244986146742 142.8726429356923                         -50 -50 0.0
11600 155.8576645024487 145.59348767306523                         -50 -50 0.0
12100 159.11910942814853 148.2713663044943                         -50 -50 0.0
