178
[(113, 8, 3), (113, 35, 0), (114, 16, 3), (100, 10, 2), (98, 13, 2), (87, 26, 2), (116, 18, 1), (98, 24, 0), (107, 32, 1), (86, 1, 0), (86, 17, 3), (106, 2, 0), (103, 23, 3), (117, 38, 2), (94, 39, 3), (105, 17, 2), (89, 13, 1), (114, 1, 0), (101, 7, 2), (118, 23, 0)]
600 62                     -28.571666666666665 -50 -50 0.0
1100 62 -3.719258451662889                         -50 -50 0.0
1600 71.83471178350504 13.519786007101239                         -50 -50 0.0
2100 78.34001057880573 27.50352810881616                         14 -49.89333333333333 0.0016666666666666668
2600 90.74658975834623 41.13482237937687                         -50 -50 0.0
3100 98.4482199321991 55.00991108079517                         79 -49.6 0.0033333333333333335
3600 99.43832699991863 66.62607340457757                         79 -49.785 0.0016666666666666668
4100 108.70603561917041 76.21113121175826                         92 -49.336666666666666 0.005
4600 108.70603561917041 84.02488041222327                         92 -48.42666666666667 0.011666666666666667
5100 127.85173135226917 90.86543179051519                         92 -49.06666666666667 0.006666666666666667
5600 127.85173135226917 97.33826665698955                         92 -49.291666666666664 0.005
6100 127.85173135226917 103.4426182949942                         104 -49.25 0.005
6600 132.40732897358706 108.9545063785458                         110 -49.471666666666664 0.0033333333333333335
7100 133.8739553128491 114.35398726738104                         125 -49.44166666666667 0.0033333333333333335
7600 138.0 119.25580991692415                         138 -48.82666666666667 0.006666666666666667
8100 141.5578383776746 123.48022631248179                         138 -48.52 0.008333333333333333
8600 141.5578383776746 127.1437455419588                         138 -48.803333333333335 0.006666666666666667
9100 148.93736782068254 130.91657426740184                         138 -49.38666666666666 0.0033333333333333335
9600 149.67344994418934 134.2788124200484                         138 -49.38666666666666 0.0033333333333333335
10100 151.69049227262315 138.10860310656165                         138 -49.68666666666667 0.0016666666666666668
10600 154.40489230280016 141.23351126126363                         -50 -50 0.0
11100 156.45395065604004 144.36127977638972                         -50 -50 0.0
11600 157.67541149388555 146.96236710799002                         -50 -50 0.0
12100 157.67541149388555 149.5115026747949                         -50 -50 0.0
12600 157.91660760983595 151.74178119848844                         -50 -50 0.0
13100 159.73651963633273 153.61004523173128                         -50 -50 0.0
13600 160.21727801167773 155.1298384018123                         -50 -50 0.0
14100 161.8231272593312 156.42422489914628                         -50 -50 0.0
14600 162.22279588334453 157.41639504800023                         -50 -50 0.0
15100 164.24989804446082 158.19564122370087                         -50 -50 0.0
15600 164.24989804446082 158.8373126118561                         -50 -50 0.0
16100 164.5652971747774 159.6747030964016                         -50 -50 0.0
16600 164.8119453998867 160.5011169954245                         -50 -50 0.0
17100 165.56524959223378 161.26147402015388                         -50 -50 0.0
17600 165.9444805428021 162.0172779849009                         -50 -50 0.0
18100 166.57877612704985 162.62930494112416                         -50 -50 0.0
18600 167.82257357350935 163.2604431195946                         -50 -50 0.0
19100 168.48842822257467 163.94212504694647                         -50 -50 0.0
19600 168.55600133642952 164.6339917096387                         -50 -50 0.0
20100 170.27263413222582 165.1861972106811                         -50 -50 0.0
20600 170.27263413222582 165.7484028887762                         -50 -50 0.0
21100 170.27263413222582 166.1589131043174                         167 -49.638333333333335 0.0016666666666666668
21600 170.27263413222582 166.5541099130388                         167 -49.638333333333335 0.0016666666666666668
22100 170.90187650649642 166.96174686596842                         167 -49.638333333333335 0.0016666666666666668
22600 171.2439639797465 167.31909186562052                         167 -49.638333333333335 0.0016666666666666668
23100 171.2439639797465 167.88001645013608                         -50 -50 0.0
23600 171.47037494750398 168.52211944369049                         -50 -50 0.0
24100 171.6153575248825 169.24482523760352                         -50 -50 0.0
24600 172.87560395212918 169.93675174393226                         -50 -50 0.0
25100 172.89042741374124 170.59169853877015                         -50 -50 0.0
25600 173.2636430680947 171.09004119635594                         -50 -50 0.0
26100 173.92538945119898 171.5969976194657                         -50 -50 0.0
26600 173.92538945119898 172.10082991806232                         172 -49.63 0.0016666666666666668
27100 174.24747498846082 172.54899620729788                         172 -49.63 0.0016666666666666668
27600 174.247796266725 172.88428700983695                         172 -49.63 0.0016666666666666668
28100 174.247796266725 173.1162250322809                         174 -49.626666666666665 0.0016666666666666668
28600 174.60926699837043 173.28355303924664                         174 -49.626666666666665 0.0016666666666666668
29100 174.60926699837043 173.41909243526027                         174 -46.266666666666666 0.016666666666666666
29600 175.0 173.57818815785635                         175 -42.53 0.03333333333333333
30100 175.0 173.8065094357644                         175 -35.056666666666665 0.06666666666666667
30600 175.0 174.0411399392894                         175 -29.06833333333333 0.09333333333333334
31100 175.0 174.29928136021599                         175 -21.555 0.12666666666666668
31600 175.0 174.53485449125859                         175 -2.7666666666666666 0.21
32100 175.0 174.72943465011866                         175 44.125 0.41833333333333333
32600 175.0 174.88651751087397                         175 116.875 0.7416666666666667
33100 175.0 174.98038496826328                         175 165.625 0.9583333333333334
33600 176.41325679906566 175.00235542799845                         175 174.625 0.9983333333333333
34100 176.41325679906566 174.9949806616703                         175 173.875 0.995
34600 176.41325679906566 174.99275714713244                         175 173.5 0.9933333333333333
35100 176.41325679906566 175.0055541750955                         175 172.75 0.99
35600 176.41325679906566 175.01904032835085                         175 171.625 0.985
36100 176.7295031306526 175.05098460111185                         175 166 0.96
36600 176.74807707784586 175.12205192350723                         175 151.375 0.895
37100 176.79897603771494 175.2544383723905                         175 123.25 0.77
37600 176.80229105271943 175.62033265190112                         175 65.875 0.515
38100 177.19471963021522 176.12328060939237                         175 -9.5 0.18
38600 177.19567760937346 176.46065009823099                         175 -47.375 0.011666666666666667
39100 177.19567760937346 176.59253114359572                         175 -49.625 0.0016666666666666668
39600 177.57175415954057 176.72371835597485                         -50 -50 0.0
40100 177.57175415954057 176.83451135855677                         -50 -50 0.0
40600 177.57175415954057 176.95710657232536                         -50 -50 0.0
41100 177.57175415954057 177.0881328135764                         -50 -50 0.0
41600 177.57175415954057 177.211488204704                         -50 -50 0.0
42100 177.57175415954057 177.34792764623947                         -50 -50 0.0
42600 177.57175415954057 177.4544392291496                         -50 -50 0.0
